iter	Passed	Remaining
891	18885	2286
892	18905	2265
893	18924	2243
894	18947	2222
895	18968	2201
896	18987	2180
897	19007	2158
898	19028	2137
899	19048	2116
900	19068	2095
901	19090	2074
902	19110	2052
903	19129	2031
904	19149	2010
905	19171	1989
906	19191	1967
907	19210	1946
908	19224	1924
909	19244	1903
910	19264	1882
911	19285	1860
912	19305	1839
913	19336	1819
914	19357	1798
915	19377	1777
916	19397	1755
917	19417	1734
918	19437	1713
919	19458	1692
920	19479	1670
921	19500	1649
922	19514	1627
923	19534	1606
924	19554	1585
925	19574	1564
926	19594	1543
927	19614	1521
928	19633	1500
929	19654	1479
930	19675	1458
931	19696	1437
932	19716	1415
933	19736	1394
934	19756	1373
935	19775	1352
936	19793	1330
937	19813	1309
938	19832	1288
939	19852	1267
940	19872	1246
941	19892	1224
942	19914	1203
943	19942	1183
944	19976	1162
945	20003	1141
946	20042	1121
947	20071	1100
948	20112	1080
949	20144	1060
950	20178	1039
951	20204	1018
952	20226	997
953	20257	976
954	20289	956
955	20315	935
956	20350	914
957	20382	893
958	20416	872
959	20441	851
960	20470	830
961	20496	809
962	20527	788
963	20547	767
964	20570	746
965	20591	724
966	20614	703
967	20635	682
968	20650	660
969	20671	639
970	20691	617
971	20713	596
972	20734	575
973	20753	553
974	20772	532
975	20792	511
976	20813	489
977	20836	468
978	20856	447
979	20876	426
980	20895	404
981	20917	383
982	20936	362
983	20958	340
984	20979	319
985	20999	298
986	21016	276
987	21038	255
988	21061	234
989	21080	212
990	21099	191
991	21119	170
992	21139	149
993	21161	127
994	21181	106
995	21201	85
996	21222	63
997	21243	42
998	21265	21
999	21284	0
